00:00:02.2205584 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 99, Accuracy = 0, Data = <-0.00390625, 0, 0.0078125> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 95, Accuracy = 0, Data = <122.8125, 7.625, -290.5> }, Gravity = SensorInfo { Timestamp = 89, Accuracy = 3, Data = <-0.6015625, 0.515625, 9.84375> }, Rotation = SensorInfo { Timestamp = 101, Accuracy = 0, Data = {X:-0.006713867 Y:0.040039062 Z:0.77648926 W:0.6288452} } } }
00:00:02.3405989 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 219, Accuracy = 0, Data = <0.005859375, -0.00390625, 0.0078125> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 215, Accuracy = 0, Data = <121.125, 7.4375, -286.1875> }, Gravity = SensorInfo { Timestamp = 209, Accuracy = 3, Data = <-0.6015625, 0.515625, 9.84375> }, Rotation = SensorInfo { Timestamp = 221, Accuracy = 0, Data = {X:-0.0067749023 Y:0.040039062 Z:0.77648926 W:0.6288452} } } }
00:00:02.4599109 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 338, Accuracy = 0, Data = <-0.001953125, 0, -0.00390625> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 334, Accuracy = 0, Data = <123.375, 8.3125, -290.625> }, Gravity = SensorInfo { Timestamp = 328, Accuracy = 3, Data = <-0.6015625, 0.515625, 9.84375> }, Rotation = SensorInfo { Timestamp = 341, Accuracy = 0, Data = {X:-0.0067749023 Y:0.040039062 Z:0.7764282 W:0.62890625} } } }
00:00:02.5805107 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 459, Accuracy = 0, Data = <-0.0078125, 0, 0.0078125> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 455, Accuracy = 0, Data = <122.25, 7.8125, -286.375> }, Gravity = SensorInfo { Timestamp = 449, Accuracy = 3, Data = <-0.6015625, 0.5078125, 9.8359375> }, Rotation = SensorInfo { Timestamp = 461, Accuracy = 0, Data = {X:-0.0067749023 Y:0.039978027 Z:0.7763672 W:0.6289673} } } }
00:00:02.7025412 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 579, Accuracy = 0, Data = <0.001953125, -0.001953125, 0.013671875> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 575, Accuracy = 0, Data = <123.375, 8.0625, -292.5625> }, Gravity = SensorInfo { Timestamp = 569, Accuracy = 3, Data = <-0.609375, 0.5078125, 9.8359375> }, Rotation = SensorInfo { Timestamp = 581, Accuracy = 0, Data = {X:-0.0067749023 Y:0.040039062 Z:0.77648926 W:0.6288452} } } }
00:00:02.8202875 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 700, Accuracy = 0, Data = <0, 0, 0.005859375> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 695, Accuracy = 0, Data = <121.6875, 8.0625, -284.25> }, Gravity = SensorInfo { Timestamp = 690, Accuracy = 3, Data = <-0.609375, 0.5078125, 9.8359375> }, Rotation = SensorInfo { Timestamp = 702, Accuracy = 0, Data = {X:-0.0068359375 Y:0.039978027 Z:0.77648926 W:0.6288452} } } }
00:00:02.9417351 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 821, Accuracy = 0, Data = <0.001953125, 0, 0.001953125> }, Accelerometer = SensorInfo { Timestamp = 7368, Accuracy = 3, Data = <0.0078125, -0.046875, 0> }, MagneticField = SensorInfo { Timestamp = 817, Accuracy = 0, Data = <123.3125, 7.375, -290.5625> }, Gravity = SensorInfo { Timestamp = 810, Accuracy = 3, Data = <-0.609375, 0.5078125, 9.84375> }, Rotation = SensorInfo { Timestamp = 823, Accuracy = 0, Data = {X:-0.0068359375 Y:0.039916992 Z:0.7764282 W:0.62890625} } } }
00:00:03.0657415 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 945, Accuracy = 0, Data = <-0.001953125, 0.005859375, -0.00390625> }, Accelerometer = SensorInfo { Timestamp = 938, Accuracy = 3, Data = <0.0078125, -0.0078125, -0.03125> }, MagneticField = SensorInfo { Timestamp = 942, Accuracy = 0, Data = <121.6875, 8.0625, -284.25> }, Gravity = SensorInfo { Timestamp = 935, Accuracy = 3, Data = <-0.609375, 0.5078125, 9.84375> }, Rotation = SensorInfo { Timestamp = 947, Accuracy = 0, Data = {X:-0.006958008 Y:0.039916992 Z:0.77648926 W:0.6287842} } } }
00:00:03.1907952 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 1071, Accuracy = 0, Data = <0.001953125, 0.001953125, 0.001953125> }, Accelerometer = SensorInfo { Timestamp = 1062, Accuracy = 3, Data = <0.0078125, -0.0390625, 0.0078125> }, MagneticField = SensorInfo { Timestamp = 1064, Accuracy = 0, Data = <122.3125, 8.5, -288.4375> }, Gravity = SensorInfo { Timestamp = 991, Accuracy = 3, Data = <-0.609375, 0.5078125, 9.84375> }, Rotation = SensorInfo { Timestamp = 1073, Accuracy = 0, Data = {X:-0.007019043 Y:0.039978027 Z:0.77648926 W:0.6288452} } } }
00:00:03.3112364 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 1191, Accuracy = 0, Data = <0.001953125, 0.001953125, 0.005859375> }, Accelerometer = SensorInfo { Timestamp = 1062, Accuracy = 3, Data = <0.0078125, -0.0390625, 0.0078125> }, MagneticField = SensorInfo { Timestamp = 1185, Accuracy = 0, Data = <122.6875, 7, -288.4375> }, Gravity = SensorInfo { Timestamp = 1180, Accuracy = 3, Data = <-0.609375, 0.5, 9.84375> }, Rotation = SensorInfo { Timestamp = 1193, Accuracy = 0, Data = {X:-0.007019043 Y:0.040100098 Z:0.7766113 W:0.6286621} } } }
00:00:03.4319169 [Info] IMUDataPacket { Data = IMUData { Gyroscope = SensorInfo { Timestamp = 1312, Accuracy = 0, Data = <0.00390625, -0.001953125, -0.00390625> }, Accelerometer = SensorInfo { Timestamp = 1062, Accuracy = 3, Data = <0.0078125, -0.0390625, 0.0078125> }, MagneticField = SensorInfo { Timestamp = 1307, Accuracy = 0, Data = <120.125, 7.625, -284> }, Gravity = SensorInfo { Timestamp = 1302, Accuracy = 3, Data = <-0.609375, 0.5078125, 9.84375> }, Rotation = SensorInfo { Timestamp = 1314, Accuracy = 0, Data = {X:-0.007080078 Y:0.040100098 Z:0.7766113 W:0.6286621} } } }
